input_1,input_2,input_3,label_id,label,split
3386,3868,974,1,GUNTING,train
3158,3015,3940,2,KERTAS,test
3295,3917,2377,3,TIDAK_VALID,train
3985,3142,382,1,GUNTING,train
905,273,554,0,BATU,train
221,4091,3744,3,TIDAK_VALID,train
3457,3699,819,1,GUNTING,train
3083,2692,2811,3,TIDAK_VALID,train
3369,3739,1070,1,GUNTING,test
2984,3184,746,1,GUNTING,test
2325,2533,3486,3,TIDAK_VALID,train
4026,3073,3057,2,KERTAS,train
2911,3477,324,1,GUNTING,train
2399,1861,3161,3,TIDAK_VALID,train
83,1144,152,0,BATU,train
1428,3521,3925,3,TIDAK_VALID,train
2902,3098,758,1,GUNTING,test
2979,3111,304,1,GUNTING,test
4048,3593,3593,2,KERTAS,train
4086,3914,879,1,GUNTING,validation
2458,3933,2813,3,TIDAK_VALID,test
944,601,899,0,BATU,validation
559,1072,593,0,BATU,train
3433,2966,3465,2,KERTAS,validation
2687,2512,3703,3,TIDAK_VALID,train
3030,3605,3799,2,KERTAS,train
3780,3165,792,1,GUNTING,test
3510,3635,3306,2,KERTAS,train
265,653,957,0,BATU,train
2040,679,1487,3,TIDAK_VALID,train
3097,4017,713,1,GUNTING,validation
806,355,903,0,BATU,train
2915,3889,3938,2,KERTAS,validation
2120,727,2306,3,TIDAK_VALID,train
3362,3663,3542,2,KERTAS,train
151,1021,188,0,BATU,train
2927,3238,3979,2,KERTAS,train
692,581,805,0,BATU,train
3314,3636,3459,2,KERTAS,train
625,1114,515,0,BATU,train
3821,3329,373,1,GUNTING,train
3262,3883,947,1,GUNTING,train
1044,1227,275,0,BATU,train
364,456,497,0,BATU,train
3496,3264,483,1,GUNTING,validation
810,3451,3949,3,TIDAK_VALID,train
3787,3085,3455,2,KERTAS,train
4053,2138,140,3,TIDAK_VALID,test
3351,3718,1120,1,GUNTING,validation
3651,3287,4004,2,KERTAS,validation
1002,471,949,0,BATU,train
1167,350,851,0,BATU,train
3162,3052,388,1,GUNTING,train
3045,4091,37,1,GUNTING,train
550,1828,1374,3,TIDAK_VALID,train
3341,1275,382,3,TIDAK_VALID,validation
3774,3959,900,1,GUNTING,validation
3326,3611,3827,2,KERTAS,train
3038,3546,3109,2,KERTAS,train
